zone_id,original_pixel_count,extension_pixel_count,original_area_ha,extension_area_ha,merged_area_ha,salinity_min,salinity_max,salinity_mean,salinity_median,depth_min,depth_max,depth_mean,depth_median,temperature_min,temperature_max,temperature_mean,temperature_median,sedimentation_min,sedimentation_max,sedimentation_mean,sedimentation_median
1,5037,0,201.48,0.0,201.48,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,235230,599,9409.2,23.96,9433.16,33.113,33.113,33.113,33.113,5.689,7.998,7.444,7.463,29.096,29.096,29.096,29.096,4.12,10.724,6.065,6.522
3,116,0,4.64,0.0,4.64,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,1577,0,63.08,0.0,63.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,50,0,2.0,0.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,197,0,7.88,0.0,7.88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,60,0,2.4,0.0,2.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,102,0,4.08,0.0,4.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,111,0,4.44,0.0,4.44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,123,17,4.92,0.68,5.6,33.113,33.113,33.113,33.113,7.511,7.986,7.801,7.823,29.096,29.096,29.096,29.096,4.12,4.12,4.12,4.12
11,129,0,5.16,0.0,5.16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,125,2,5.0,0.08,5.08,33.113,33.113,33.113,33.113,7.819,7.868,7.844,7.844,29.096,29.096,29.096,29.096,4.261,4.261,4.261,4.261
13,57,0,2.28,0.0,2.28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,3566,0,142.64,0.0,142.64,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,56,0,2.24,0.0,2.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,103,0,4.12,0.0,4.12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,2898,0,115.92,0.0,115.92,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,102,0,4.08,0.0,4.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,50,0,2.0,0.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,57,0,2.28,0.0,2.28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,392782,341,15711.28,13.64,15724.92,33.055,33.104,33.088,33.099,4.048,7.999,6.219,6.318,28.874,29.077,28.951,28.951,9.106,19.773,17.715,18.716
22,145,0,5.8,0.0,5.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,137,0,5.48,0.0,5.48,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,548,7,21.92,0.28,22.2,33.104,33.104,33.104,33.104,7.284,7.918,7.724,7.789,29.077,29.077,29.077,29.077,9.106,9.106,9.106,9.106
25,77,0,3.08,0.0,3.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
26,81,0,3.24,0.0,3.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,74,0,2.96,0.0,2.96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
28,51,0,2.04,0.0,2.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
29,138931,0,5557.24,0.0,5557.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,70,0,2.8,0.0,2.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
31,78,0,3.12,0.0,3.12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32,51,0,2.04,0.0,2.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,69,0,2.76,0.0,2.76,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
34,174,0,6.96,0.0,6.96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
35,263083,36,10523.32,1.44,10524.76,32.989,33.009,33.0,33.009,4.023,7.283,5.413,5.637,28.694,28.916,28.738,28.694,11.921,19.045,17.557,17.476
36,189,0,7.56,0.0,7.56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
37,67,0,2.68,0.0,2.68,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
38,315,75,12.6,3.0,15.6,32.989,32.989,32.989,32.989,4.029,6.047,4.572,4.464,28.786,28.786,28.786,28.786,19.882,19.882,19.882,19.882
39,297,45,11.88,1.8,13.68,32.989,32.989,32.989,32.989,4.055,4.92,4.466,4.434,28.786,28.786,28.786,28.786,19.882,19.882,19.882,19.882
